Country,X1 (Seafood),X2 (Meat),X3 (Offals),X4 (Spices),X5 (Vegetables),X6 (Obesity),Y (Percentage of confirmed case)
Afghanistan,0.0327,6.1244,0.3103,0.2776,0.3593,4.5,0.102237464
Albania,0.1445,8.7428,0.2933,0,0.6503,22.3,0.542600423
Algeria,0.2008,3.8961,0.1067,0.1568,0.5145,26.6,0.119647406
Angola,1.4155,11.0268,0.1539,0.0103,0.1231,6.8,0.019574442
Antigua and Barbuda,1.5263,14.3202,0.1347,0.3591,0.2469,19.1,0.113265306
Argentina,0.1664,19.2693,0.1878,0.0213,0.1878,28.5,1.970615069
Armenia,0.2218,10.8165,0.2734,0.0103,0.8717,20.9,1.909709066
Australia,0.4515,11.6002,0.2339,0.1007,0.2144,30.4,0.105944708
Austria,0.4259,8.1099,0.075,0.102,0.2039,21.9,0.620585596
Azerbaijan,0.2122,11.9993,0.1612,0.017,0.6534,19.9,0.415334389
Bahamas,1.4991,17.4941,0.258,0.2719,0.3974,32.1,1.292111959
Bangladesh,2.1646,1.8407,0.1178,1.0602,0.3092,3.4,0.222759689
Barbados,1.806,13.1382,0.097,0.3181,0.2534,24.8,0.072473868
Belarus,0.5151,11.5636,0.2316,0.016,0.3394,26.6,0.891029333
Belgium,0.6188,5.6817,0.1379,0.0994,0.2982,24.5,1.409101172
Belize,0.4155,10.3435,0.031,0.0496,0.2108,22.4,0.604057279
Benin,0.8599,3.2849,0.0946,2.597,0.3612,8.2,0.019747727
Bolivia,0.1831,21.1476,0.1395,0.1483,0.1919,18.7,1.191214648
Bosnia and Herzegovina,0.3049,9.6957,0.1037,2.2196,0.7866,19.4,0.934074977
Botswana,0.3622,3.4759,0.2081,0.5472,0.185,16.1,0.13892965
Brazil,0.1886,14.292,0.0763,0.008,0.1204,22.3,2.405425094
Bulgaria,0.3404,9.3523,0.2356,0.6179,0.2461,27.4,0.352273712
Burkina Faso,0.3692,3.5741,0.1255,0.096,0.0665,4.5,0.010864469
Cabo Verde,0.5256,9.9204,0.0803,0.9709,0.3066,10.6,1.271942446
Cambodia,4.8461,11.7799,0.1372,0.5029,0.2591,3.5,0.00182616
Cameroon,0.9051,3.3685,0.084,0.7465,0.5505,9.5,0.07971652
Canada,0.4244,7.8211,0.0065,0.0979,0.222,31.3,0.482856769
Central African Republic,0.5509,12.9144,0.3468,0.0102,0.0918,6.3,0.100496894
Chad,0.648,7.8546,0.7268,0,0.0263,4.8,0.007726492
Chile,0.5204,20.2172,0.0396,0.0283,0.2602,28.8,2.472372881
China,0.9817,21.6062,0.4784,0.0676,0.5763,6.6,0.00647554
Colombia,0.3717,11.3996,0.118,0.1239,0.1829,22.1,1.843127579
Congo,1.854,9.6514,0.339,0.0106,0.5827,8.4,0.289398333
Costa Rica,0.9286,5.6449,0.0552,0.0414,0.1701,25.7,1.710800235
Cote d'Ivoire,1.2268,2.5809,0.2545,0.6089,0.3272,9,0.076997135
Croatia,0.5633,11.4896,0.131,0.0655,0.393,27.1,0.508457711
